YYYY,MM,DD,days,days_m,Bsr,dB,Kp1,Kp2,Kp3,Kp4,Kp5,Kp6,Kp7,Kp8,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,Ap,SN,F10.7obs,F10.7adj,D
2015,1,1,30316,30316.5,2475,5,2.333,1.0,1.0,1.0,1.333,1.333,1.667,2.333,9,4,4,4,5,5,6,9,6,104,137.5,132.9,2
2015,1,2,30317,30317.5,2475,6,3.0,1.0,1.333,1.667,2.333,2.333,3.0,4.0,15,4,5,6,9,9,15,27,11,122,145.8,141.0,2
2015,1,3,30318,30318.5,2475,7,4.667,3.0,2.333,3.0,2.667,1.0,1.333,0.0,39,15,9,15,12,4,5,0,12,102,148.7,143.8,2
2015,1,4,30319,30319.5,2475,8,0.667,1.0,2.0,3.333,3.667,5.0,3.333,4.0,3,4,7,18,22,48,18,27,18,105,149.7,144.8,2
2015,1,5,30320,30320.5,2475,9,5.333,3.0,2.333,1.667,2.0,1.667,2.333,3.0,56,15,9,6,7,6,9,15,15,88,141.9,137.2,2
2015,1,6,30321,30321.5,2475,10,2.0,3.0,3.333,3.667,2.0,3.0,2.667,1.0,7,15,18,22,7,15,12,4,12,89,141.9,137.2,2
2015,1,7,30322,30322.5,2475,11,2.333,1.667,6.0,6.333,4.0,2.333,2.0,3.333,9,6,80,94,27,9,7,18,31,103,147.2,142.4,2
2015,1,8,30323,30323.5,2475,12,3.667,4.0,2.667,2.0,2.333,1.667,1.667,2.667,22,27,12,7,9,6,6,12,13,99,157.2,152.0,2
2015,1,9,30324,30324.5,2475,13,2.0,1.667,2.333,1.667,2.0,1.333,1.0,2.0,7,6,9,6,7,5,4,7,6,111,151.2,146.2,2
2015,1,10,30325,30325.5,2475,14,2.333,3.333,1.333,2.0,2.333,3.333,1.0,0.667,9,18,5,7,9,18,4,3,9,106,151.9,146.9,2
2015,1,11,30326,30326.5,2475,15,3.0,2.333,3.0,2.0,2.333,1.0,2.0,2.667,15,9,15,7,9,4,7,12,10,122,153.7,148.6,2
2015,1,12,30327,30327.5,2475,16,0.333,1.333,1.333,1.667,2.667,2.333,2.333,2.0,2,5,5,6,12,9,9,7,7,124,158.6,153.4,2
2015,1,13,30328,30328.5,2475,17,1.667,1.667,1.0,1.333,2.667,2.667,2.0,2.0,6,6,4,5,12,12,7,7,7,101,-1.0,-1.0,2
2015,1,14,30329,30329.5,2475,18,2.0,0.667,1.0,1.667,2.667,1.333,1.667,1.0,7,3,4,6,12,5,6,4,6,80,141.8,137.2,2
2015,1,15,30330,30330.5,2475,19,0.333,0.667,1.333,1.333,3.0,1.667,0.333,0.333,2,3,5,5,15,6,2,2,5,59,131.4,127.1,2
2015,1,16,30331,30331.5,2475,20,1.333,3.0,2.0,1.333,2.0,1.0,1.667,1.0,5,15,7,5,7,4,6,4,7,52,124.7,120.7,2
2015,1,17,30332,30332.5,2475,21,2.667,3.0,0.667,1.667,1.333,0.0,0.333,1.667,12,15,3,6,5,0,2,6,6,40,121.9,118.0,2
2015,1,18,30333,30333.5,2475,22,0.333,0.333,0.0,0.667,1.333,1.0,1.0,2.333,2,2,0,3,5,4,4,9,4,68,125.8,121.7,2
