st_y,st_x,country,time,see_aurora
63.99796674,-150.0064701,United States,2015-01-01T18:46:19Z,1
64.13251412,-22.05146621,Iceland,2015-01-02T20:28:44Z,1
64.12908145,-21.9589161,Iceland,2015-01-02T20:32:35Z,1
64.04273443,-20.97687865,Iceland,2015-01-02T22:05:17Z,1
64.12044342,-21.95083874,Iceland,2015-01-02T22:19:50Z,1
61.98297914,9.984173814,Norway,2015-01-02T22:32:52Z,1
64.13858348,-22.01063353,Iceland,2015-01-02T23:08:19Z,1
61.99068412,9.994456482,Norway,2015-01-02T23:42:22Z,1
69.64322885,18.94785274,Norge,2015-01-03T00:19:56Z,1
69.62907396,18.92365825,Norge,2015-01-03T00:29:27Z,1
64.81447417,-147.886414,United States,2015-01-04T08:20:33Z,1
61.12605396,-149.8093337,United States,2015-01-04T11:45:52Z,1
61.17929615,-149.950051,United States,2015-01-04T12:53:26Z,1
64.39485024,27.7182928,Finland,2015-01-04T19:14:57Z,1
59.94799906,10.95923981,Norge,2015-01-04T22:08:25Z,1
64.13479817,-21.90633602,Iceland,2015-01-04T23:56:55Z,1
69.64424781,18.87836899,Norge,2015-01-05T00:01:10Z,1
59.94946504,10.93038388,Norge,2015-01-05T00:26:54Z,1
61.19864185,-149.9245242,United States,2015-01-07T08:04:16Z,1
64.0001341,-150.0299859,United States,2015-01-07T09:06:13Z,1
61.20396066,-149.759426,United States,2015-01-07T11:14:23Z,1
53.54523408,-113.4952328,Canada,2015-01-07T11:17:02Z,1
46.2444802,-102.8972284,United States,2015-01-07T11:28:03Z,1
63.98341648,-150.0390671,United States,2015-01-07T12:15:21Z,1
68.33671132,-133.7606697,Canada,2015-01-10T15:49:54Z,1
57.67217424,-6.347222975,United Kingdom,2015-01-18T21:27:49Z,1
66.95288128,19.76762564,Sweden,2015-01-19T20:35:42Z,1
69.28899164,20.33669977,Norge,2015-01-24T21:10:15Z,1
63.77997965,-18.05567792,Ìsland,2015-01-26T01:31:35Z,1
63.97861977,-150.0313497,United States,2015-01-27T13:06:48Z,1
66.06609609,-16.79966362,Ìsland,2015-01-28T01:51:29Z,1
64.14119033,-21.95903757,Ìsland,2015-01-30T20:25:16Z,1
56.73249567,-111.4729082,Canada,2015-02-02T04:28:58Z,1
51.04502787,-114.1017855,Canada,2015-02-02T04:45:36Z,1
63.99896584,-150.0249486,United States,2015-02-02T07:26:11Z,1
61.20432513,-149.9315383,United States,2015-02-02T07:28:01Z,1
61.85176837,-121.3636756,Canada,2015-02-03T05:19:20Z,1
63.99658329,-150.0295371,United States,2015-02-08T07:27:27Z,1
70.14081874,23.66450638,Norge,2015-02-16T20:58:12Z,1
56.35672205,-3.00285038,United Kingdom,2015-02-16T21:33:27Z,1
66.81113725,13.73299532,Norge,2015-02-16T22:09:17Z,1
54.64424319,-5.658073225,United Kingdom,2015-02-17T02:00:09Z,1
62.43645151,-114.3900118,Canada,2015-02-17T03:36:25Z,1
46.48276175,-66.01620534,Canada,2015-02-17T03:45:51Z,1
61.20652515,-149.9203741,United States,2015-02-17T09:57:24Z,1
51.03179409,-114.0883735,Canada,2015-02-17T09:58:44Z,1
52.13579318,-106.8202725,Canada,2015-02-18T06:17:57Z,1
53.36239933,-110.4107478,Canada,2015-02-24T03:58:43Z,1
51.28349593,-114.0458327,Canada,2015-02-24T04:31:07Z,1
47.94259426,-122.3160814,United States,2015-02-24T04:46:02Z,1
63.77513489,-18.05654943,Ìsland,2015-02-28T23:36:01Z,1
64.04669391,-20.98587968,Ìsland,2015-02-28T23:55:00Z,1
64.13637106,-21.90617992,Ìsland,2015-03-01T00:33:16Z,1
44.67103991,-79.33781212,Canada,2015-03-01T05:00:21Z,1
53.55869606,-112.6857245,Canada,2015-03-01T05:05:54Z,1
52.29703461,-113.7847652,Canada,2015-03-01T05:06:29Z,1
51.032812,-114.0993309,Canada,2015-03-01T05:10:02Z,1
52.28450677,-113.7845958,Canada,2015-03-01T05:12:45Z,1
51.04325743,-114.0952086,Canada,2015-03-01T05:19:04Z,1
51.03187456,-114.1064319,Canada,2015-03-01T05:21:14Z,1
52.37184309,-114.6366179,Canada,2015-03-01T05:32:53Z,1
49.2263272,-84.50550386,Canada,2015-03-01T05:35:05Z,1
45.38685447,-75.73425956,Canada,2015-03-01T06:09:11Z,1
51.03767087,-114.0868372,Canada,2015-03-01T06:31:43Z,1
50.35498481,-119.0655233,Canada,2015-03-01T06:39:52Z,1
52.27353663,-117.4979927,Canada,2015-03-01T06:51:00Z,1
55.0001061,-97.01836722,Canada,2015-03-01T06:57:27Z,1
45.40976932,-75.72426164,Canada,2015-03-01T06:57:52Z,1
50.92086714,-104.4010852,Canada,2015-03-02T05:12:23Z,1
50.91510344,-104.3706355,Canada,2015-03-02T05:15:17Z,1
51.03592174,-114.106644,Canada,2015-03-02T06:18:13Z,1
50.56930819,-111.8905384,Canada,2015-03-02T07:30:16Z,1
69.6388218,18.92845728,Norge,2015-03-04T22:46:36Z,1
64.72774402,-155.4923211,United States,2015-03-12T09:00:54Z,1
60.16682631,24.930653,Finland,2015-03-13T13:34:06Z,1
52.32554957,-113.4120418,Canada,2015-03-17T05:03:09Z,1
63.98984213,-150.0176846,United States,2015-03-17T06:14:01Z,1
61.32085294,-149.5749679,United States,2015-03-17T06:55:44Z,1
52.28377952,-113.3123463,Canada,2015-03-17T07:15:36Z,1
52.24330304,-113.5959135,Canada,2015-03-17T07:19:43Z,1
42.0657399,-91.17889228,United States,2015-03-17T08:04:53Z,1
-45.92624708,170.5239252,New Zealand,2015-03-17T12:04:44Z,1
-43.54629882,172.6041925,New Zealand,2015-03-17T14:49:11Z,1
67.10687118,26.93795784,Suomi,2015-03-17T17:43:45Z,1
60.17202723,24.89035833,Finland,2015-03-17T17:46:53Z,1
60.16546145,24.91279991,Finland,2015-03-17T17:56:08Z,1
60.8151973,25.99126957,Finland,2015-03-17T18:20:31Z,1
61.49811132,23.74946654,Suomi,2015-03-17T18:24:15Z,1
60.9912648,25.63096901,Suomi,2015-03-17T18:26:54Z,1
60.16482136,24.91575352,Finland,2015-03-17T18:27:40Z,1
62.8837857,27.62540877,Suomi,2015-03-17T18:31:36Z,1
63.99868735,25.94958715,Finland,2015-03-17T19:06:44Z,1
68.10480718,19.80818905,Sverige,2015-03-17T19:15:40Z,1
69.96444887,23.26957543,Norway,2015-03-17T19:18:47Z,1
60.23547199,24.66304236,Finland,2015-03-17T19:25:20Z,1
60.15684398,24.89564797,Finland,2015-03-17T19:25:35Z,1
61.69718582,23.70157748,Finland,2015-03-17T19:44:12Z,1
60.92437678,26.67921356,Suomi,2015-03-17T19:57:48Z,1
59.42859449,24.70318945,Eesti,2015-03-17T19:59:13Z,1
54.66634247,-5.652737018,United Kingdom,2015-03-17T19:59:45Z,1
61.99976285,14.96204396,Sweden,2015-03-17T20:13:51Z,1
57.58172419,-6.358306304,United Kingdom,2015-03-17T20:22:32Z,1
59.3251606,17.92684409,Sverige,2015-03-17T20:26:39Z,1
52.4257658,-4.035027961,United Kingdom,2015-03-17T20:51:29Z,1
56.99770963,24.96540264,Latvia,2015-03-17T20:54:57Z,1
52.46399216,-1.92298226,United Kingdom,2015-03-17T21:07:14Z,1
57.22336785,-7.353738261,United Kingdom,2015-03-17T21:11:12Z,1
59.99802279,17.74589296,Sweden,2015-03-17T21:31:46Z,1
46.99967314,19.98260985,Hungary,2015-03-17T21:34:12Z,1
52.6630907,0.97134279,United Kingdom,2015-03-17T21:35:58Z,1
45.8982406,15.92867186,Croatia,2015-03-17T21:36:32Z,1
61.0957251,26.00779399,Suomi,2015-03-17T21:39:28Z,1
65.19580489,25.96922486,Finland,2015-03-17T21:46:13Z,1
60.15868655,24.9152507,Finland,2015-03-17T21:52:44Z,1
64.13431943,-21.89949782,Iceland,2015-03-17T21:54:48Z,1
64.2251752,-21.43607445,Ìsland,2015-03-17T22:08:02Z,1
54.64771259,-5.68244788,United Kingdom,2015-03-17T22:17:41Z,1
53.65419132,-5.008420567,No Man's Land,2015-03-17T22:19:07Z,1
64.14031672,-21.97111232,Ìsland,2015-03-17T22:35:35Z,1
63.5107013,-19.51612357,Ìsland,2015-03-17T22:37:14Z,1
53.53635905,-2.095213354,United Kingdom,2015-03-17T22:47:13Z,1
54.158202,-1.518141054,United Kingdom,2015-03-17T22:49:00Z,1
53.64676743,-1.445784304,United Kingdom,2015-03-17T23:04:01Z,1
55.19837341,-6.610251759,United Kingdom,2015-03-17T23:14:14Z,1
54.24497739,-8.691990151,Ireland,2015-03-17T23:18:43Z,1
60.15700341,24.92835498,Finland,2015-03-17T23:21:14Z,1
63.9805961,25.99516455,Finland,2015-03-17T23:22:11Z,1
60.89960551,26.58616396,Suomi,2015-03-17T23:23:20Z,1
