st_y,st_x,country,time,see_aurora,isd_usaf,isd_wban,isd_ctry,isd_lat,isd_lon,isd_elev,isd_begin,isd_end
63.99796674,-150.0064701,United States,2015-01-01T18:46:19Z,1,702645,46403,US,63.733,-148.917,524.3,20060101,20250607
64.13251412,-22.05146621,Iceland,2015-01-02T20:28:44Z,1,040300,99999,IC,64.13,-21.941,14.6,19310101,20250606
64.12908145,-21.9589161,Iceland,2015-01-02T20:32:35Z,1,040300,99999,IC,64.13,-21.941,14.6,19310101,20250606
64.04273443,-20.97687865,Iceland,2015-01-02T22:05:17Z,1,040380,99999,IC,63.867,-21.15,5.0,19740601,20250606
64.12044342,-21.95083874,Iceland,2015-01-02T22:19:50Z,1,040300,99999,IC,64.13,-21.941,14.6,19310101,20250606
61.98297914,9.984173814,Norway,2015-01-02T22:32:52Z,1,012500,99999,NO,62.133,10.0,694.0,20110928,20250604
64.13858348,-22.01063353,Iceland,2015-01-02T23:08:19Z,1,040300,99999,IC,64.13,-21.941,14.6,19310101,20250606
61.99068412,9.994456482,Norway,2015-01-02T23:42:22Z,1,012500,99999,NO,62.133,10.0,694.0,20110928,20250604
69.64322885,18.94785274,Norge,2015-01-03T00:19:56Z,1,010260,99999,NO,69.65,18.933,114.5,19970201,20250606
69.62907396,18.92365825,Norge,2015-01-03T00:29:27Z,1,010260,99999,NO,69.65,18.933,114.5,19970201,20250606
64.81447417,-147.886414,United States,2015-01-04T08:20:33Z,1,702610,26411,US,64.803,-147.876,131.1,19460101,20250607
61.12605396,-149.8093337,United States,2015-01-04T11:45:52Z,1,702725,26491,US,61.179,-149.965,25.1,20020101,20250607
61.17929615,-149.950051,United States,2015-01-04T12:53:26Z,1,702725,26491,US,61.179,-149.965,25.1,20020101,20250607
64.39485024,27.7182928,Finland,2015-01-04T19:14:57Z,1,028970,99999,FI,64.285,27.692,147.2,19160101,20250606
59.94799906,10.95923981,Norge,2015-01-04T22:08:25Z,1,014660,99999,NO,59.967,11.033,109.0,20110928,20250603
64.13479817,-21.90633602,Iceland,2015-01-04T23:56:55Z,1,041300,99999,IC,64.133,-21.9,53.0,20031104,20250606
