id,activities_id,height_id,sky_id,observer_id,timestamp,address_country,address_state,location,see_aurora,sky_other,time_start,time_end,on_going,height_other,activities_other,colors_other,types_other,comment,image,st_y,st_x,colors,types
544,acti,n45,,603,2015-01-02 14:48:02.335133+00,Finnland,,0101000020E61000008FC022F014423B40ADE08EE945345140,t,,2015-01-01 21:15:00+00,2015-01-01 21:45:00+00,t,,,,,,n,68.81676711,27.25813199,gree,arcs
543,,n,,,2015-01-01 23:50:43.474132+00,Island,Su__urland,0101000020E6100000C666F6C6D22634C0DA454F129E135040,t,,2015-01-01 23:45:00+00,2015-01-02 00:45:00+00,f,,,,,,n,64.30652292,-20.1516537,gree,arcs
545,quie,n,,358,2015-01-02 15:22:15.296002+00,United States,AK,0101000020E61000000833EABE18C162C0793F8EA697974E40,t,,2015-01-02 15:15:00+00,2015-01-02 15:30:00+00,f,,,,,,n,61.18431551,-150.0342707,gree,glow
547,quie,over,,,2015-01-02 18:50:51.725901+00,Norway,Troms,0101000020E610000078FA2E26DF973240A72B14B07C595140,t,,2015-01-02 18:15:00+00,2015-01-02 18:45:00+00,f,,,,,,n,69.39823534,18.59324874,gree,arcs
550,acti,s45,,,2015-01-02 22:13:55.618338+00,Iceland,Capital Region,0101000020E61000009C0E6B0A1DE135C091EF122D74055040,t,,2015-01-02 20:30:00+00,2015-01-02 20:45:00+00,f,,,,,,y,64.08521582,-21.87934938,gree,arcs
549,acti,n,,588,2015-01-02 21:40:17.64708+00,Sverige,Dalarnas l_ùn,0101000020E6100000E61DA4DF5A6F2B40AB2D59872D564E40,t,,2015-01-02 21:00:00+00,2015-01-02 21:15:00+00,t,,,,,,n,60.67326443,13.71749019,gree,"glow, arcs"
548,quie,n,,,2015-01-02 21:38:40.343836+00,Zweden,Dalarnas l_ùn,0101000020E61000009E77C894BB3C2C406BA4848A81684E40,t,,2015-01-02 21:15:00+00,2015-01-02 21:30:00+00,f,,,,,,n,60.81645328,14.11861863,gree,arcs
556,very,over,,,2015-01-03 08:52:47.002096+00,______,Norrbottens l_ùn,0101000020E61000001DD09735CEA73240056D07363A195140,t,,2015-01-02 21:15:00+00,2015-01-02 22:45:00+00,f,,,,,,n,68.39417792,18.65549025,gree,"arcs, patc"
551,,,,657,2015-01-02 23:04:31.052706+00,Su__cia,Norrbottens l_ùn,0101000020E610000030F43A1F7E3634407952C3D18AF55040,f,,2015-01-02 22:45:00+00,2015-01-02 23:00:00+00,f,,,,,,n,67.83659786,20.21286197,,
552,very,over,,,2015-01-03 01:15:06.233967+00,Iceland,Capital Region,0101000020E6100000D2BEBAAF36E535C00087A5F3DB055040,t,,2015-01-03 00:00:00+00,2015-01-03 00:15:00+00,f,,,,,http://hrefna.com/blog/2015/01/northern-lights-animated-gif/,y,64.09154979,-21.8953657,gree,arcs
558,,,clea,,2015-01-03 22:39:44.707847+00,______,Norrbottens l_ùn,0101000020E610000029FED2C1D5A13240DA78A8FBDA185140,f,,2015-01-03 22:30:00+00,2015-01-03 22:45:00+00,f,,,,,,n,68.38836566,18.63216792,,
576,acti,,,,2015-01-05 16:54:57.116225+00,_____Å_Å___è,___________∏_Å_____è ___„__.,0101000020E61000000DD84A266E3C40403BA0E54221D75040,t,,2015-01-04 05:00:00+00,2015-01-04 18:15:00+00,f,,,,,,n,67.36140511,32.4721115,gree,arcs
