"verified_type, twitter id, observation id",text,user_screen_name,st_y,st_x,location_full_name,location_country,created_at,Total Votes,Score
"(pos,682714505101586432,682714505101586432)",Welcome to #NYE2016 and visible #aurora in #Lancashire https://t.co/k3gwpmryd0,Stephencheatley,53.81978643,-2.516547404,"Lancashire, ENG",United Kingdom,2016-01-01 00:06:36+00,4,2
"(pos,682715243571736576,682715243571736576)","@VirtualAstro Happy New Year with visible aurora from Matterdale, Cumbria yeh !!",donnalouiseb,54.59169908,-2.943327917,"Matterdale, ENG",United Kingdom,2016-01-01 00:09:32+00,2,2
"(pos,682716115940806656,682716115940806656)",#aurora pale band clearly visible at Portballintrae.  Green on camera,ILoveNorthCoast,55.20510292,-6.586345198,"Portballintrae, NIR",United Kingdom,2016-01-01 00:13:00+00,2,2
"(pos,682717105393938432,682717105393938432)","@ANBorough @newslineweather @ThatsEarth @love_belfast Amazing aurora over Newtownabbey, super way to end 2015! #wow https://t.co/X8QKx7olpi",bcripps078,54.64411874,-5.921147327,"Newtownabbey, NIR",United Kingdom,2016-01-01 00:16:56+00,2,2
"(pos,682717408398802944,682717408398802944)","Happy new year from Edinburgh, #aurora at 23:55:22",CtrlRX,55.94322593,-3.204074873,"Edinburgh, SCT",United Kingdom,2016-01-01 00:18:09+00,2,2
"(pos,682717787085778944,682717787085778944)","Happy new year from Edinburgh, #aurora at 23:55:22 https://t.co/Zmr1slLbxc",CtrlRX,55.94624872,-3.201701784,"Edinburgh, SCT",United Kingdom,2016-01-01 00:19:39+00,2,2
"(pos,682717957458407424,682717957458407424)",Aurora under stars and over fireworks in Cromarty - wonderful start to the New Year.,thomas_urquhart,57.66728072,-4.054014842,"Cromarty, SCT",United Kingdom,2016-01-01 00:20:20+00,2,2
"(pos,682720080916918272,682720080916918272)","AURORAMAX ALERT __Æ An #aurora is now visible above #Yellowknife, Northwest Territories! Check it out: https://t.co/kMY960Gm4S",AuroraMAX,62.45283937,-114.3582381,"Yellowknife, 13",Canada,2016-01-01 00:28:46+00,2,2
"(pos,682720133815615488,682720133815615488)","Great way to see out the old year - aurora from Prestonpans, East Lothian. @aurorawatchuk @LothianLoop https://t.co/ECiu0BjaZt",prestonpanarchy,55.913982,-2.751726531,"East Lothian, SCT",United Kingdom,2016-01-01 00:28:58+00,2,2
"(pos,682720280276529152,682720280276529152)",#Aurora over the Great Orme in #Llandudno #Wales in time for New Year https://t.co/1Fhl1PceiX,DoctorGold85,53.31992765,-3.864819786,"Great Orme Tramway, Summit Station, WLS",United Kingdom,2016-01-01 00:29:33+00,2,2
